序号,传输方向,时间标识,帧ID,帧格式,帧类型,数据长度,数据(HEX)
153,接收,14:57:24.594.0,0x1c010100,数据帧,扩展帧,0x08,3a 7e 00 00 0e b0 00 00 
154,接收,14:57:24.625.0,0x1c010200,数据帧,扩展帧,0x08,3c 49 00 00 0f 87 00 00 
155,接收,14:57:25.592.0,0x1c010100,数据帧,扩展帧,0x08,3a 7b 00 00 0e bc 00 00 
156,接收,14:57:25.639.0,0x1c010200,数据帧,扩展帧,0x08,3b 82 00 00 0f a5 00 00 
157,接收,14:57:26.591.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
158,接收,14:57:26.637.0,0x1c010200,数据帧,扩展帧,0x08,39 cc 00 28 0f 01 00 00 
159,接收,14:57:27.589.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
160,接收,14:57:27.636.0,0x1c010200,数据帧,扩展帧,0x08,38 8c 00 28 0f 2e 00 00 
161,接收,14:57:28.587.0,0x1c010100,数据帧,扩展帧,0x08,3a 8d 00 00 0e bc 00 00 
162,接收,14:57:28.634.0,0x1c010200,数据帧,扩展帧,0x08,39 83 00 00 0f 90 00 00 
163,接收,14:57:29.586.0,0x1c010100,数据帧,扩展帧,0x08,3a 7b 00 00 0e bc 00 00 
164,接收,14:57:29.633.0,0x1c010200,数据帧,扩展帧,0x08,38 a3 00 00 0f 78 00 00 
165,接收,14:57:30.584.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
166,接收,14:57:30.647.0,0x1c010200,数据帧,扩展帧,0x08,38 b6 00 00 0f 65 00 00 
167,接收,14:57:31.583.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
168,接收,14:57:31.645.0,0x1c010200,数据帧,扩展帧,0x08,39 0d 00 28 0f 06 00 00 
169,接收,14:57:32.581.0,0x1c010100,数据帧,扩展帧,0x08,3a 87 00 00 0e b8 00 00 
170,接收,14:57:32.643.0,0x1c010200,数据帧,扩展帧,0x08,3b 7f 00 28 0f 1b 00 00 
171,接收,14:57:33.579.0,0x1c010100,数据帧,扩展帧,0x08,3a 7b 00 00 0e bc 00 00 
172,接收,14:57:33.642.0,0x1c010200,数据帧,扩展帧,0x08,39 65 00 28 0f 29 00 00 
173,接收,14:57:34.593.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
174,接收,14:57:34.640.0,0x1c010200,数据帧,扩展帧,0x08,38 da 00 00 0f 65 00 00 
175,接收,14:57:35.592.0,0x1c010100,数据帧,扩展帧,0x08,3a 86 00 00 0e ba 00 00 
176,接收,14:57:35.639.0,0x1c010200,数据帧,扩展帧,0x08,3a 4f 00 28 0f 26 00 00 
177,接收,14:57:36.590.0,0x1c010100,数据帧,扩展帧,0x08,3a dd 00 00 0e b2 00 00 
178,接收,14:57:36.653.0,0x1c010200,数据帧,扩展帧,0x08,38 e6 00 28 0f 1b 00 00 
179,接收,14:57:37.589.0,0x1c010100,数据帧,扩展帧,0x08,3a e1 00 00 0e b7 00 00 
180,接收,14:57:37.651.0,0x1c010200,数据帧,扩展帧,0x08,3a 10 00 00 0f 9a 00 00 
181,接收,14:57:38.587.0,0x1c010100,数据帧,扩展帧,0x08,3a cd 00 00 0e ba 00 00 
182,接收,14:57:38.649.0,0x1c010200,数据帧,扩展帧,0x08,39 f1 00 00 0f 95 00 00 
183,接收,14:57:39.585.0,0x1c010100,数据帧,扩展帧,0x08,3a d5 00 00 0e ba 00 00 
184,接收,14:57:39.648.0,0x1c010200,数据帧,扩展帧,0x08,3b fb 00 00 0f 34 00 00 
185,接收,14:57:40.584.0,0x1c010100,数据帧,扩展帧,0x08,3a 2b 00 00 0e bc 00 00 
186,接收,14:57:40.646.0,0x1c010200,数据帧,扩展帧,0x08,3b 21 00 28 0f 20 00 00 
187,接收,14:57:41.582.0,0x1c010100,数据帧,扩展帧,0x08,3a 2d 00 00 0e ba 00 00 
188,接收,14:57:41.660.0,0x1c010200,数据帧,扩展帧,0x08,39 0b 00 00 0f 72 00 00 
189,接收,14:57:42.581.0,0x1c010100,数据帧,扩展帧,0x08,3a 86 00 00 0e ba 00 00 
190,接收,14:57:42.659.0,0x1c010200,数据帧,扩展帧,0x08,3b f6 00 00 0f 43 00 00 
191,接收,14:57:43.595.0,0x1c010100,数据帧,扩展帧,0x08,3a 82 00 00 0e b5 00 00 
192,接收,14:57:43.657.0,0x1c010200,数据帧,扩展帧,0x08,38 a8 00 00 0f 50 00 00 
193,接收,14:57:44.596.0,0x1c010100,数据帧,扩展帧,0x08,3a 8f 00 00 0e b0 00 00 
194,接收,14:57:44.658.0,0x1c010200,数据帧,扩展帧,0x08,38 ae 00 00 0f 65 00 00 
195,接收,14:57:45.594.0,0x1c010100,数据帧,扩展帧,0x08,3a 78 00 00 0e bf 00 00 
196,接收,14:57:45.657.0,0x1c010200,数据帧,扩展帧,0x08,39 8e 00 00 0f 62 00 00 
197,接收,14:57:46.593.0,0x1c010100,数据帧,扩展帧,0x08,3a 96 00 00 0e aa 00 00 
198,接收,14:57:46.655.0,0x1c010200,数据帧,扩展帧,0x08,3b d2 00 28 0f 31 00 00 
199,接收,14:57:47.591.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
200,接收,14:57:47.669.0,0x1c010200,数据帧,扩展帧,0x08,38 e5 00 28 0f 13 00 00 
201,接收,14:57:48.592.0,0x1c010100,数据帧,扩展帧,0x08,3a 7b 00 00 0e bc 00 00 
202,接收,14:57:48.670.0,0x1c010200,数据帧,扩展帧,0x08,3c 3a 00 00 0f 3d 00 00 
203,接收,14:57:49.590.0,0x1c010100,数据帧,扩展帧,0x08,3a 7b 00 00 0e bc 00 00 
204,接收,14:57:49.668.0,0x1c010200,数据帧,扩展帧,0x08,3c 48 00 00 0f 6d 00 00 
205,接收,14:57:50.589.0,0x1c010100,数据帧,扩展帧,0x08,3a 7d 00 00 0e ba 00 00 
206,接收,14:57:50.667.0,0x1c010200,数据帧,扩展帧,0x08,39 b4 00 00 0f 8b 00 00 
207,接收,14:57:51.589.0,0x1c010100,数据帧,扩展帧,0x08,3a 8a 00 00 0e b5 00 00 
208,接收,14:57:51.667.0,0x1c010200,数据帧,扩展帧,0x08,38 8d 00 00 0f 73 00 00 
209,接收,14:57:52.587.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
210,接收,14:57:52.665.0,0x1c010200,数据帧,扩展帧,0x08,3a 90 00 28 0f 23 00 00 
211,接收,14:57:53.586.0,0x1c010100,数据帧,扩展帧,0x08,3a 80 00 00 0e b7 00 00 
212,接收,14:57:53.664.0,0x1c010200,数据帧,扩展帧,0x08,38 4d 00 00 0f 5b 00 00 
213,接收,14:57:54.584.0,0x1c010100,数据帧,扩展帧,0x08,3a 86 00 00 0e ba 00 00 
214,接收,14:57:54.678.0,0x1c010200,数据帧,扩展帧,0x08,3b 86 00 28 0f 1c 00 00 
215,接收,14:57:55.584.0,0x1c010100,数据帧,扩展帧,0x08,3a 8a 00 00 0e b5 00 00 
216,接收,14:57:55.678.0,0x1c010200,数据帧,扩展帧,0x08,3a f8 00 28 0f 0b 00 00 
217,接收,14:57:56.583.0,0x1c010100,数据帧,扩展帧,0x08,36 9f 00 0a 0b 0b 00 00 
218,接收,14:57:56.676.0,0x1c010200,数据帧,扩展帧,0x08,3a b3 00 28 0f 09 00 00 
219,接收,14:57:57.597.0,0x1c010100,数据帧,扩展帧,0x08,2d 64 00 14 09 3b 00 00 
220,接收,14:57:57.675.0,0x1c010200,数据帧,扩展帧,0x08,3c 18 00 28 0f 29 00 00 
221,接收,14:57:58.595.0,0x1c010100,数据帧,扩展帧,0x08,25 22 00 1e 07 85 00 00 
222,接收,14:57:58.673.0,0x1c010200,数据帧,扩展帧,0x08,39 c3 00 28 0f 24 00 00 
223,接收,14:57:59.594.0,0x1c010100,数据帧,扩展帧,0x08,1d 89 00 3c 05 fa 00 00 
224,接收,14:57:59.672.0,0x1c010200,数据帧,扩展帧,0x08,3a ea 00 00 0f 9d 00 00 
225,接收,14:58:00.592.0,0x1c010100,数据帧,扩展帧,0x08,16 f9 00 5a 04 a6 00 00 
226,接收,14:58:00.686.0,0x1c010200,数据帧,扩展帧,0x08,3c 0c 00 00 0f 5a 00 00 
227,接收,14:58:01.590.0,0x1c010100,数据帧,扩展帧,0x08,3b 2e 00 14 0e 61 00 00 
228,接收,14:58:01.684.0,0x1c010200,数据帧,扩展帧,0x08,3b 45 00 00 0f d1 00 00 
229,接收,14:58:02.589.0,0x1c010100,数据帧,扩展帧,0x08,3a d5 00 00 0e ba 00 00 
230,接收,14:58:02.682.0,0x1c010200,数据帧,扩展帧,0x08,3a 37 00 00 0f b1 00 00 
231,接收,14:58:03.587.0,0x1c010100,数据帧,扩展帧,0x08,3a ea 00 00 0e 9d 00 00 
232,接收,14:58:03.681.0,0x1c010200,数据帧,扩展帧,0x08,38 66 00 00 0f 6e 00 00 
233,接收,14:58:04.586.0,0x1c010100,数据帧,扩展帧,0x08,3a be 00 00 0e b7 00 00 
234,接收,14:58:04.679.0,0x1c010200,数据帧,扩展帧,0x08,3c 16 00 00 0f 7b 00 00 
235,接收,14:58:05.584.0,0x1c010100,数据帧,扩展帧,0x08,3a 2d 00 00 0e ba 00 00 
236,接收,14:58:05.693.0,0x1c010200,数据帧,扩展帧,0x08,3a cf 00 14 0e d2 00 00 
237,接收,14:58:06.582.0,0x1c010100,数据帧,扩展帧,0x08,3a 34 00 00 0e bc 00 00 
238,接收,14:58:06.692.0,0x1c010200,数据帧,扩展帧,0x08,3b bc 00 00 0f b2 00 00 
239,接收,14:58:07.596.0,0x1c010100,数据帧,扩展帧,0x08,3a 37 00 00 0e b8 00 00 
240,接收,14:58:07.690.0,0x1c010200,数据帧,扩展帧,0x08,39 19 00 00 0f 7f 00 00 
241,接收,14:58:08.595.0,0x1c010100,数据帧,扩展帧,0x08,3a 72 00 00 0e bc 00 00 
242,接收,14:58:08.688.0,0x1c010200,数据帧,扩展帧,0x08,3c 02 00 00 0f 51 00 00 
243,接收,14:58:09.593.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
244,接收,14:58:09.687.0,0x1c010200,数据帧,扩展帧,0x08,3c 10 00 00 0f 4d 00 00 
245,接收,14:58:10.592.0,0x1c010100,数据帧,扩展帧,0x08,3a 86 00 00 0e ba 00 00 
246,接收,14:58:10.685.0,0x1c010200,数据帧,扩展帧,0x08,38 92 00 00 0f 6e 00 00 
247,接收,14:58:11.590.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
248,接收,14:58:11.699.0,0x1c010200,数据帧,扩展帧,0x08,3c 2c 00 28 0f 28 00 00 
